,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0,0
21,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0,0
22,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0,0
23,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0,0
24,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0,0
25,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0,0
26,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0,0
27,27462,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0,0
28,29500,27462,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0,0
29,31610,29500,27462,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0,0
30,33793,31610,29500,27462,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0,0
31,36048,33793,31610,29500,27462,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0,0
32,38376,36048,33793,31610,29500,27462,35663,33076,30586,28192,40099,36580,33221,30023,78992,71486,64338,57547,51114,45038,39319,33958,28954,34780,28160,32772,25215,24327,16693,13455,7080,0
