Permutation,Num_Intervals,Strategy,Team Work Depletion,Team Work Depletion %,Cyclist init pos 0 Work Depleted,Cyclist init pos 0 Work Depleted %,Cyclist init pos 1 Work Depleted,Cyclist init pos 1 Work Depleted %,Cyclist init pos 2 Work Depleted,Cyclist init pos 2 Work Depleted %,Cyclist init pos 3 Work Depleted,Cyclist init pos 3 Work Depleted %,Expected Split Time per Lap,Expected Constant Velocity,Feasibility
"('M1', 'M2', 'M3', 'M4')",7,"(2.25, 4.75, 5.25, 8.75, 11.25, 11.75)",104510.96500777178,95.62499355197299,26886.07422506127,92.39200764625866,28374.718691743663,99.25431705438392,24445.21502708845,95.80649822692574,24804.95706387839,95.07665073603393,13.4,67.16417910447761,feasible
"('M1', 'M2', 'M3', 'M4')",8,"(2.25, 4.25, 4.75, 7.25, 10.25, 10.75, 15.25)",104834.6838749493,95.92118844964904,29014.892983905112,99.70753602716533,26430.333308080248,92.45288774533518,25361.552240766327,99.39783745385469,24027.905342197617,92.09823497196628,13.4,67.16417910447761,feasible
"('M1', 'M2', 'M4', 'M3')",7,"(2.25, 4.75, 5.25, 10.25, 12.75, 13.25)",104394.20483832702,95.518160833995,27616.03232750614,94.90045473369807,28218.820027996167,98.70898599513889,23112.926022722237,88.59114689419103,25446.42646010248,99.73047931179417,13.4,67.16417910447761,feasible
"('M1', 'M2', 'M4', 'M3')",8,"(2.25, 4.75, 7.75, 9.75, 12.25, 12.75, 13.25)",104458.89471510725,95.57735049940023,27498.474016977885,94.49647428514737,28249.15888513586,98.81511083740867,24121.581950365402,92.45729457984902,24589.679862628112,96.37268960608304,13.4,67.16417910447761,feasible
"('M1', 'M3', 'M2', 'M4')",7,"(2.25, 5.75, 6.25, 10.25, 12.75, 13.25)",105173.40635969036,96.23111129283457,27129.393592542896,93.22815667540513,23568.606693317004,92.37086574498127,28492.547994970995,99.66648209284212,25982.85807885946,99.59150972629838,13.4,67.16417910447761,feasible
"('M1', 'M3', 'M2', 'M4')",8,"(2.25, 6.25, 8.75, 11.25, 14.25, 14.75, 15.25)",104923.11056554019,96.00209672292877,29014.892983905112,99.70753602716533,25341.70501699711,99.3200515556023,27625.900467038256,96.63496275175827,22940.61209759971,87.93067282710679,13.4,67.16417910447761,feasible
"('M1', 'M3', 'M4', 'M2')",7,"(2.25, 5.75, 6.25, 9.25, 12.25, 12.75)",104960.84033545056,96.0366185456306,28889.14553479061,99.27541420890243,23568.606693317004,92.37086574498127,25468.728052684368,97.6208648747199,27034.360054658566,94.56576374828414,13.4,67.16417910447761,feasible
"('M1', 'M3', 'M4', 'M2')",8,"(2.25, 4.25, 4.75, 5.25, 8.25, 10.25, 13.25)",105181.65202153432,96.23865587306692,29014.892983905112,99.70753602716533,23568.60415231907,92.3708557862178,24529.30967357759,94.02010262000866,28068.845211732547,98.18437646066855,13.4,67.16417910447761,feasible
"('M1', 'M4', 'M2', 'M3')",7,"(2.25, 5.25, 5.75, 10.25, 12.75, 13.25)",104710.5748034501,95.80763166485646,27372.712960024517,94.06430570455161,25431.816818278043,97.47938522882296,28232.716888725172,98.75759699410038,23673.328136422373,92.78129350117314,13.4,67.16417910447761,feasible
"('M1', 'M4', 'M2', 'M3')",8,"(2.25, 2.75, 4.25, 7.25, 9.75, 12.75, 14.25)",104656.62534563553,95.75826922183178,27498.462805620686,94.49643575814669,25410.28919545155,97.3968705011667,27158.20484243851,94.99897085653365,24589.66850212479,96.37264508162129,13.4,67.16417910447761,feasible
"('M1', 'M4', 'M3', 'M2')",7,"(2.25, 4.75, 8.75, 11.75, 14.75, 15.25)",104838.49610810036,95.92467655035179,28889.14553479061,99.27541420890243,23846.180836572756,91.4016904342362,24445.21502708845,95.80649822692574,27657.954709648537,96.74708798526427,13.4,67.16417910447761,feasible
"('M1', 'M4', 'M3', 'M2')",8,"(2.25, 5.25, 7.75, 8.25, 11.25, 11.75, 13.25)",104983.64898796983,96.05748790847615,29014.90654379317,99.70758262471881,25772.72608670761,98.78608015128081,21815.367842926626,85.49951384134005,28380.648514542427,99.27505948071558,13.4,67.16417910447761,feasible
"('M2', 'M1', 'M3', 'M4')",7,"(2.25, 5.25, 8.25, 11.25, 13.25, 14.25)",104147.77110855843,95.29267995915706,28331.423906052252,99.10287257902188,28604.849945160408,98.29845341979522,24445.215027088445,95.80649822692573,22766.28223025732,87.26247171442242,13.4,67.16417910447761,feasible
"('M2', 'M1', 'M3', 'M4')",8,"(2.25, 3.25, 7.25, 8.75, 10.75, 13.75, 14.25)",104354.83172926099,95.48213539589594,28496.03665742361,99.67868537890564,28604.858494204054,98.29848279795208,23588.461126677048,92.44867989930135,23665.47545095627,90.70905215269698,13.4,67.16417910447761,feasible
